country_code,observed_year_pairs,median_annual_gap_closure_speed,implied_remaining_gap_half_life_years
HND,28,0.015827561513473556,43.44618590537212
HRV,29,0.05474189089649756,12.312272602404402
HTI,25,0.008791210890109896,78.49838932920785
HUN,31,0.07796350644379225,8.539400288238665
IDN,29,0.015267175572519078,45.05367807214235
IND,32,0.01014448845315054,67.98030253193019
IRL,31,0.058857472590882635,11.426629234830106
IRN,30,0.03003017723932975,22.733353211751304
IRQ,20,0.02628596940812678,26.02136153841519
ISL,22,0.08356943616571416,7.94265276443871
ISR,31,0.061715481171548126,10.881081060332091
ITA,32,0.04973487761994828,13.587322829363181
JAM,29,0.03713535004733567,18.316668005044658
JOR,29,0.0375,18.13514353457817
JPN,30,0.051711024282171156,13.054603484870736
KAZ,30,0.07221608178694841,9.247335718347134
KEN,29,0.009493672881716327,72.66436308628383
KGZ,25,0.027878778666666645,24.514689430692115
KHM,24,0.004427243830336643,156.21721020868355
KIR,26,0.010432972756691491,66.09094872137827
KNA,28,0.024107297763082625,28.40460405028525
KOR,27,0.043942247332078,15.42488024568102
KWT,24,0.06164693493786654,10.893573582798064
LAO,25,0.019633110350045786,34.957292271731696
LBN,26,0.034954249348607046,19.481497620961104
LBR,21,0.011681017576134135,58.99237083192328
LBY,24,0.017089062640816555,40.21329682215643
LCA,29,0.024265886010617493,28.216683848276283
LIE,14,0.18782562272174458,3.331794250021146
LKA,29,0.011089800317469966,62.155907719849694
LSO,28,0.01294713898405701,53.189380230655615
LTU,27,0.08001239722423696,8.311607172025466
LUX,22,0.13217600437696764,4.889363072354681
LVA,27,0.09374145941514092,7.041985288766138
MAC,30,0.04888104395186213,13.830817654848682
MAR,28,0.02498852319996525,27.390585938075496
MCO,16,0.10688613287684565,6.131810423183518
MDA,30,0.03050289255528703,22.37561906444805
MDG,27,0.004077471721734359,169.64754667788057
MDV,34,0.03142456778853631,21.709075044464395
MEX,33,0.032824374907078256,20.768341895870517
MHL,29,0.010482180283062819,65.7790588319407
MKD,28,0.06952013765068983,9.61971650416749
MLI,28,0.00423582715821215,163.29233708417917
MLT,28,0.06942394195048118,9.633537802831416
MMR,18,0.004149181002602335,166.7095716197668
MNE,19,0.046174028538344375,14.66232040949038
MNG,24,0.012170630785964042,56.60516410405315
MOZ,27,0.005291005291005291,130.65793710385907
MRT,27,0.005235602094240838,132.04423468212408
MUS,27,0.041154290327315664,16.493645919801995
MWI,26,0.006371429495551769,108.44295765663792
MYS,28,0.06565316518160214,10.207215769796115
NAM,29,0.010917543854254752,63.142088981119585
NCL,18,0.05128392875399445,13.166260809812302
NER,27,0.0009668424367640863,716.5718199159978
NGA,28,0.019930165094345136,34.431061310352035
NIC,30,0.01784374170307844,38.49778061945199
NLD,29,0.09620009526391837,6.852849921313513
NOR,23,0.16012725344644793,3.972078818574568
NPL,34,0.0032101920612521125,215.5740227845127
NRU,3,0.12552031530859667,5.167872497165574
NZL,32,0.07316758628819592,9.12245661514688
OMN,22,0.10126813500724133,6.491932394768078
PAK,23,0.005405405405405406,127.88534173809076
PAN,29,0.034637523701936006,19.66284332370298
PER,30,0.03457421627799095,19.699489259168537
PHL,28,0.021951514645417114,31.228424677455383
PLW,4,0.03954127379069952,17.18080908026177
PNG,26,0.00449184567040588,153.96549840522616
POL,32,0.06867308189668409,9.742750694896813
PRI,25,0.03242570013281236,21.02799780285789
PRK,7,0.0,
PRT,34,0.04675402079404059,14.476063306566367
PRY,27,0.05400676542633849,12.484670547940588
PSE,20,0.05766151208141123,11.670963876905931
PYF,20,0.055513328661835275,12.136267338375372
QAT,21,0.05084407896981043,13.28321279351675
ROU,31,0.05746164574616459,11.712788132441501
RUS,31,0.07953694216176392,8.363422576303305
RWA,24,0.010985281187930337,62.75059794357144
SAU,23,0.04838709677419355,13.975603427077017
SDN,12,0.0005821378386923553,1190.3459306739262
SEN,29,0.013542586711181078,50.835414702874644
SGP,27,0.06451612903225806,10.393355749081856
SLB,26,0.010362972508591065,66.53973190481868
SLE,31,0.0006978809290724301,992.8703543160499
SLV,28,0.024850671949725657,27.54446534033247
SMR,12,0.09430032824256285,6.998127852296655
SOM,23,0.0005905098886478245,1173.46469314289
SRB,20,0.09243318324832986,7.146724848999942
SSD,7,0.006217616580310877,111.13423768523704
STP,26,0.018257236341532368,37.61797570245598
SUR,24,0.02365851786566924,28.950040221456593
SVK,26,0.05461995315464034,12.340547883363222
SVN,27,0.05936073059360739,11.326755877849234
SWE,26,0.10595424404044122,6.188906727168968
SWZ,28,0.022749323616087683,30.12101100434377
SYC,26,0.057172460279134404,11.77382090061895
SYR,28,0.013595947014335133,50.63453344639968
TCD,27,0.0031373342779070948,220.58831881221298
TGO,34,0.0029425771606053797,235.21111677474866
THA,33,0.025121925148178625,27.243280958813344
TJK,24,0.01758351445685844,39.07268838618538
TKM,17,0.0033027562543658504,209.5225466388418
TLS,16,0.022291668969696976,30.74657398220024
TON,29,0.02116918873048011,32.3953999639857
TTO,28,0.05390495497478985,12.508917229482366
TUN,26,0.036632770484953524,18.572776574418132
TUR,31,0.0537735849056604,12.540339318591796
TUV,17,0.01801802225874523,38.12203563016729
TZA,28,0.0048909507636749365,141.3734781763768
UGA,25,0.0022888034879413586,302.4958859176606
UKR,31,0.04855219065003444,13.926883417592553
URY,30,0.06810478982338128,9.82700934005299
USA,30,0.08402908168458675,7.897253522978108
UZB,29,0.03150137228538458,21.655291389802418
VCT,29,0.039130445797101475,17.364877091509452
VEN,29,0.02723240396028518,25.10486108004996
VGB,4,0.004772047264060055,144.9046830862339
VIR,19,0.052662624051922215,12.812334337774193
VNM,26,0.041479741327026615,16.36147851952688
VUT,19,0.007377904559879312,93.6020562788416
WSM,17,0.005675380526497219,121.78538064711984
XKX,1,0.3445483822701302,1.6408538389921048
YEM,20,0.005394258883789194,128.1503173035052
ZAF,33,0.01281351410132843,53.747692046556736
ZMB,30,0.0030441472032801263,227.3515625982527
ZWE,30,0.006612698218428284,104.47367125719191
